category,taxonomyRank,rank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,categoryOverview,categoryLimitations,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy,sourceQueries,importanceReasons
Foundation Models and Large Language Models,44,65,3,2024,Qwen2.5 Technical Report,"Qwen An Yang, Baosong Yang, Beichen Zhang, Binyuan Hui, Bo Zheng, Bowen Yu, Chengyuan Li, Dayiheng Liu, et al.",arXiv.org,2024-12-19,4243,582,281.926,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; self-supervised; reinforcement-learning,foundation-models; multimodal; nlp; reinforcement-learning,"In this report, we introduce Qwen2.5, a comprehensive series of large language models (LLMs) designed to meet diverse needs.","high citation signal (4,243); influential citation signal (582)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2412.15115,https://www.semanticscholar.org/paper/88aa6b1f37d1fd8e0a40499ce9bb87873f03aaa8,,10.48550/arXiv.2412.15115,2412.15115,,Computer Science,foundation models; large language models; multimodal learning; reinforcement learning,citations=4243; influential=582; open PDF metadata; AI term matches=4; query hits=4
Foundation Models and Large Language Models,45,67,18,2023,Sparks of Artificial General Intelligence: Early experiments with GPT-4,"Sébastien Bubeck, Varun Chandrasekaran, Ronen Eldan, John A. Gehrke, Eric Horvitz, Ece Kamar, Peter Lee, Y. Lee, et al.",arXiv.org,2023-03-22,4227,249,269.989,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer,foundation-models,"Artificial intelligence (AI) researchers have been developing and refining large language models (LLMs) that exhibit remarkable capabilities across a variety of domains and tasks, challenging our understanding of learning and cognition.","high citation signal (4,227); influential citation signal (249)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,https://www.semanticscholar.org/paper/8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,,,2303.12712,,Computer Science,artificial intelligence; deep learning; large language models,citations=4227; influential=249; open PDF metadata; AI term matches=5; query hits=3
Foundation Models and Large Language Models,46,68,16,2022,Scaling Instruction-Finetuned Language Models,"Hyung Won Chung, Le Hou, S. Longpre, Barret Zoph, Yi Tay, W. Fedus, Eric Li, Xuezhi Wang, et al.",Journal of machine learning research,2022-10-20,4216,437,286.782,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",metadata-ranked,foundation-models,Finetuning language models on a collection of datasets phrased as instructions has been shown to improve model performance and generalization to unseen tasks.,"high citation signal (4,216); influential citation signal (437); recognized venue; open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2210.11416,https://www.semanticscholar.org/paper/cdbd4f9b6ab2e2fd1ddf5400d5ed2c18960635d1,http://arxiv.org/pdf/2210.11416,10.48550/arXiv.2210.11416,2210.11416,,Computer Science,large language models,citations=4216; influential=437; recognized venue; open PDF metadata; title AI matches=1; AI term matches=5
Foundation Models and Large Language Models,47,69,17,2022,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,"Yuntao Bai, Andy Jones, Kamal Ndousse, Amanda Askell, Anna Chen, Nova Dassarma, Dawn Drain, Stanislav Fort, et al.",arXiv.org,2022-04-12,4136,500,286.242,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; reinforcement-learning,nlp; reinforcement-learning; trustworthy-ai,We apply preference modeling and reinforcement learning from human feedback (RLHF) to ﬁnetune language models to act as helpful and harmless assistants.,"high citation signal (4,136); influential citation signal (500); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2204.05862,https://www.semanticscholar.org/paper/0286b2736a114198b25fb5553c671c33aed5d477,http://arxiv.org/pdf/2204.05862,10.48550/arXiv.2204.05862,2204.05862,,Computer Science,reinforcement learning,citations=4136; influential=500; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=5
Foundation Models and Large Language Models,48,70,19,2021,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,"W. Fedus, Barret Zoph, Noam Shazeer",Journal of machine learning research,2021-01-11,4121,542,293.29,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; transformer; self-supervised,foundation-models,"In deep learning, models typically reuse the same parameters for all inputs.","high citation signal (4,121); influential citation signal (542); recognized venue","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/fdacf2a732f55befdc410ea927091cad3b791f13,https://www.semanticscholar.org/paper/fdacf2a732f55befdc410ea927091cad3b791f13,,,2101.03961,,Computer Science,deep learning; large language models,citations=4121; influential=542; recognized venue; resource signal; open PDF metadata; title AI matches=1; AI term matches=4; query hits=2
Foundation Models and Large Language Models,49,71,20,2021,Learning to Prompt for Vision-Language Models,"Kaiyang Zhou, Jingkang Yang, Chen Change Loy, Ziwei Liu",International Journal of Computer Vision,2021-09-02,4037,718,289.767,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",self-supervised,foundation-models; multimodal; nlp; vision,Large pre-trained vision-language models like CLIP have shown great potential in learning representations that are transferable across a wide range of downstream tasks.,"high citation signal (4,037); influential citation signal (718)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1007/s11263-022-01653-1,https://www.semanticscholar.org/paper/96ea07447d2f9adefe03852a878517a2a6d45b96,,10.1007/s11263-022-01653-1,2109.01134,,Computer Science,large language models; natural language processing,citations=4037; influential=718; open PDF metadata; title AI matches=2; AI term matches=8; query hits=2
Foundation Models and Large Language Models,50,74,19,2023,Qwen Technical Report,"Jinze Bai, Shuai Bai, Yunfei Chu, Zeyu Cui, K. Dang, Xiaodong Deng, Yang Fan, Wenhang Ge, et al.",arXiv.org,2023-09-28,3948,428,280.047,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",reinforcement-learning,foundation-models; nlp; reinforcement-learning,"Large language models (LLMs) have revolutionized the field of artificial intelligence, enabling natural language processing tasks that were previously thought to be exclusive to humans.","high citation signal (3,948); influential citation signal (428); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2309.16609,https://www.semanticscholar.org/paper/5fc1a3a49e8f1d106118b69d1d6be3b6caa23da0,https://arxiv.org/pdf/2309.16609,10.48550/arXiv.2309.16609,2309.16609,,Computer Science; Linguistics,artificial intelligence; large language models; natural language processing; reinforcement learning,citations=3948; influential=428; resource signal; open PDF metadata; AI term matches=5; query hits=4
Foundation Models and Large Language Models,51,75,20,2023,Reflexion: language agents with verbal reinforcement learning,"Noah Shinn, Federico Cassano, Beck Labash, A. Gopinath, Karthik Narasimhan, Shunyu Yao",Neural Information Processing Systems,2023-03-20,3934,322,278.996,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; transformer; reinforcement-learning,foundation-models; nlp; reinforcement-learning,"Large language models (LLMs) have been increasingly used to interact with external environments (e.g., games, compilers, APIs) as goal-driven agents.","high citation signal (3,934); influential citation signal (322)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.52202/075280-0377,https://www.semanticscholar.org/paper/0671fd553dd670a4e820553a974bc48040ba0819,,10.52202/075280-0377,2303.11366,,Computer Science; Linguistics,large language models; reinforcement learning,citations=3934; influential=322; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=3; query hits=2
Foundation Models and Large Language Models,52,76,22,2021,Program Synthesis with Large Language Models,"Jacob Austin, Augustus Odena, Maxwell Nye, Maarten Bosma, H. Michalewski, David Dohan, Ellen Jiang, Carrie J. Cai, et al.",arXiv.org,2021-08-16,3877,593,288.204,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; reinforcement-learning,foundation-models; nlp; reinforcement-learning,This paper explores the limits of the current generation of large language models for program synthesis in general purpose programming languages.,"high citation signal (3,877); influential citation signal (593)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/a38e0f993e4805ba8a9beae4c275c91ffcec01df,https://www.semanticscholar.org/paper/a38e0f993e4805ba8a9beae4c275c91ffcec01df,,,2108.07732,,Computer Science,large language models,citations=3877; influential=593; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=2; AI term matches=4
Foundation Models and Large Language Models,53,78,11,2020,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,"Pengcheng He, Xiaodong Liu, Jianfeng Gao, Weizhu Chen",International Conference on Learning Representations,2020-06-05,3849,540,278.736,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; self-supervised,foundation-models; nlp,Recent progress in pre-trained neural language models has significantly improved the performance of many natural language processing (NLP) tasks.,"high citation signal (3,849); influential citation signal (540)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/14b65a86c82e38fce0eb3506e0d4084ad5cdb583,https://www.semanticscholar.org/paper/14b65a86c82e38fce0eb3506e0d4084ad5cdb583,,,2006.03654,,Computer Science,large language models; natural language processing,citations=3849; influential=540; resource signal; open PDF metadata; AI term matches=3; query hits=2
Foundation Models and Large Language Models,54,79,23,2021,Efficiently Modeling Long Sequences with Structured State Spaces,"Albert Gu, Karan Goel, Christopher R'e",International Conference on Learning Representations,2021-10-31,3759,345,273.958,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset,vision,"A central goal of sequence modeling is designing a single principled model that can address sequence data across a range of modalities and tasks, particularly on long-range dependencies.","high citation signal (3,759); influential citation signal (345)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/ac2618b2ce5cdcf86f9371bcca98bc5e37e46f51,https://www.semanticscholar.org/paper/ac2618b2ce5cdcf86f9371bcca98bc5e37e46f51,,,2111.00396,,Computer Science,large language models,citations=3759; influential=345; survey/benchmark signal; resource signal; open PDF metadata; AI term matches=2
Foundation Models and Large Language Models,55,81,21,2023,Self-Refine: Iterative Refinement with Self-Feedback,"Aman Madaan, Niket Tandon, Prakhar Gupta, Skyler Hallinan, Luyu Gao, Sarah Wiegreffe, Uri Alon, Nouha Dziri, et al.",Neural Information Processing Systems,2023-03-30,3745,267,266.3,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; reinforcement-learning,foundation-models; nlp; reinforcement-learning,"Like humans, large language models (LLMs) do not always generate the best output on their first try.","high citation signal (3,745); influential citation signal (267); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2303.17651,https://www.semanticscholar.org/paper/3aaf6a2cbad5850ad81ab5c163599cb3d523436f,http://arxiv.org/pdf/2303.17651,10.48550/arXiv.2303.17651,2303.17651,,Computer Science,large language models; reinforcement learning,citations=3745; influential=267; open PDF metadata; AI term matches=4; query hits=2
Foundation Models and Large Language Models,56,83,5,2024,Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,"Machel Reid, N. Savinov, Denis Teplyashin, Dmitry Lepikhin, T. Lillicrap, Jean-Baptiste Alayrac, Radu Soricut, Angeliki Lazaridou, et al.",arXiv.org,2024-03-08,3706,806,277.502,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; retrieval,foundation-models; multimodal; vision,"duce the Gemini 1.5 family of models, representing the next generation of highly compute-efficient multimodal models capable of recalling and reasoning over fine-grained information from millions of tokens of context, including multiple long documents and hours of video and audio.","high citation signal (3,706); influential citation signal (806)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/c811bedbe8f4c21d0cba9f9175f7c2eb203284a7,https://www.semanticscholar.org/paper/c811bedbe8f4c21d0cba9f9175f7c2eb203284a7,,,2403.05530,,Computer Science,large language models,citations=3706; influential=806; open PDF metadata; AI term matches=2
Foundation Models and Large Language Models,57,87,18,2022,Emergent Abilities of Large Language Models,"Jason Wei, Yi Tay, Rishi Bommasani, Colin Raffel, Barret Zoph, Sebastian Borgeaud, Dani Yogatama, Maarten Bosma, et al.",Trans. Mach. Learn. Res.,2022-06-15,3615,181,260.105,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",metadata-ranked,foundation-models,Scaling up language models has been shown to predictably improve performance and sample efficiency on a wide range of downstream tasks.,"high citation signal (3,615); influential citation signal (181); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2206.07682,https://www.semanticscholar.org/paper/dac3a172b504f4e33c029655e9befb3386e5f63a,http://arxiv.org/pdf/2206.07682,10.48550/arXiv.2206.07682,2206.07682,,Computer Science; Linguistics,large language models,citations=3615; influential=181; open PDF metadata; title AI matches=2; AI term matches=2
Foundation Models and Large Language Models,58,89,22,2023,Let's Verify Step by Step,"H. Lightman, Vineet Kosaraju, Yura Burda, Harrison Edwards, Bowen Baker, Teddy Lee, Jan Leike, John Schulman, et al.",International Conference on Learning Representations,2023-05-31,3579,477,277.403,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; reinforcement-learning,foundation-models; reinforcement-learning,"In recent years, large language models have greatly improved in their ability to perform complex multi-step reasoning.","high citation signal (3,579); influential citation signal (477); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2305.20050,https://www.semanticscholar.org/paper/be8db99310602d66bba64bcf41a572c45816fbfc,http://arxiv.org/pdf/2305.20050,10.48550/arXiv.2305.20050,2305.20050,,Computer Science,large language models,citations=3579; influential=477; survey/benchmark signal; resource signal; open PDF metadata; AI term matches=2
Foundation Models and Large Language Models,59,90,23,2023,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,"Wenliang Dai, Junnan Li, Dongxu Li, A. Tiong, Junqi Zhao, Weisheng Wang, Boyang Albert Li, Pascale Fung, et al.",Neural Information Processing Systems,2023-05-11,3563,524,273.618,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; self-supervised,multimodal; vision,Large-scale pre-training and instruction tuning have been successful at creating general-purpose language models with broad competence.,"high citation signal (3,563); influential citation signal (524); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2305.06500,https://www.semanticscholar.org/paper/8bd6a2a89503be083176f2cc26fabedb79238cbd,http://arxiv.org/pdf/2305.06500,10.48550/arXiv.2305.06500,2305.06500,,Computer Science,large language models,citations=3563; influential=524; open PDF metadata; title AI matches=1; AI term matches=3
Foundation Models and Large Language Models,60,91,24,2023,Retrieval-Augmented Generation for Large Language Models: A Survey,"Yunfan Gao, Yun Xiong, Xinyu Gao, Kangxiang Jia, Jin Pan, Yuxi Bi, Yi Dai, Jiawei Sun, et al.",arXiv.org,2023-12-18,3516,219,276.149,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",survey/review; benchmark/dataset; retrieval,foundation-models,"Large Language Models (LLMs) showcase impressive capabilities but encounter challenges like hallucination, outdated knowledge, and non-transparent, untraceable reasoning processes.","high citation signal (3,516); influential citation signal (219)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/46f9f7b8f88f72e12cbdb21e3311f995eb6e65c5,https://www.semanticscholar.org/paper/46f9f7b8f88f72e12cbdb21e3311f995eb6e65c5,,,2312.10997,,Computer Science,foundation models; large language models,citations=3516; influential=219; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=3; AI term matches=4; query hits=2
Foundation Models and Large Language Models,61,92,6,2024,SAM 2: Segment Anything in Images and Videos,"Nikhila Ravi, Valentin Gabeur, Yuan-Ting Hu, Ronghang Hu, Chaitanya K. Ryali, Tengyu Ma, Haitham Khedr, Roman Rädle, et al.",International Conference on Learning Representations,2024-08-01,3469,504,278.486,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; transformer,foundation-models; vision,"We present Segment Anything Model 2 (SAM 2), a foundation model towards solving promptable visual segmentation in images and videos.","high citation signal (3,469); influential citation signal (504)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2408.00714,https://www.semanticscholar.org/paper/92a09cdfc19f3f582d89c28c1b4f386299cc69e1,,10.48550/arXiv.2408.00714,2408.00714,,Computer Science,foundation models,citations=3469; influential=504; survey/benchmark signal; resource signal; open PDF metadata; AI term matches=3
